	Genus	Species	Name_Change	Author	Year
180	Acerorhinus	alfambrense	1	Cerdeno_&amp;_Alcala	1989
181	Acerorhinus	fuguensis	0	Deng	2000
182	Acerorhinus	hezhengensis	0	"Qiu_Zhanxiang,_Xie_Junyi_&amp;_Yan_Defa"	1988
183	Acerorhinus	incisium	1	Pavlow	1914
184	Acerorhinus	incisivum	1	Pavlow	1914
185	Acerorhinus	intermedium	1	Lydekker	1884
186	Acerorhinus	lufengensis	0	Deng_&amp;_Qi	2009
187	Acerorhinus	neleus	0	"Athanassiou,_Roussiakis,_Giaourtsakis,_Theodorou_&amp;_Iliopoulos"	2014
188	Acerorhinus	palaeosinense	1	Ringstrom	1924
189	Acerorhinus	paleosinense	1	Ringstrom	1924
190	Acerorhinus	tetradactylum	NA	NA	NA
191	Acerorhinus	tsaidamense	1	Bohlin	1937
192	Acerorhinus	yuanmouensis	0	Zong	1998
193	Aceroryctes	dulcis	0	Rankin_&amp;_Holroyd	2014
194	Acerotherium	albigense	0	Roman	1912
195	Acerotherium	filholi	NA	NA	NA
196	Acerotherium	incisivum	NA	NA	NA
197	Acerotherium	minutum	NA	NA	NA
198	Acerotherium	platyodon	NA	NA	NA
199	Achaenodon	fremdi	0	"Lucas,_Foss_&amp;_Mihlbachler"	2004
200	Acheronodon	garbani	0	Archibald	1982
201	Acheronodon	vossae	0	Fox	2005
202	Achlysictis	lelongi	0	Ameghino	1891
203	Achlysictis	propampina	1	Burmeister	1891
204	Achtiaria	berissiakii	NA	NA	NA
205	Achtiaria	expectans	0	Borissiak	1914
206	Acidomomys	hebeticus	0	"Bloch,_Boyer,_Gingerich_&amp;_Gunnell"	2002
207	Acinacodus	tagaricus	0	"Lopatin,_Mashchenko_&amp;_Averianov"	2010
208	Acinonvx	juhatus	NA	NA	NA
209	Acinonyx	aicha	0	Geraads	1997
210	Acinonyx	intermedius	0	Thenius	1953
211	Acinonyx	iubatas	NA	NA	NA
212	Acinonyx	j.	NA	NA	NA
213	Acinonyx	jabatus	NA	NA	NA
214	Acinonyx	jubaius	NA	NA	NA
215	Acinonyx	jubata	NA	NA	NA
216	Acinonyx	jubatus	1	Schreber	1775
217	Acinonyx	jubutus	NA	NA	NA
218	Acinonyx	kurteni	0	Christiansen_&amp;_Kurteni	2009
219	Acinonyx	pamiroalayensis	0	Sharapov	1986
220	Acinonyx	pardinensis	1	Croizet_&amp;_Jobert	1828
221	Acinonyx	pleistocaenicus	NA	NA	NA
222	Acinonyx	rex	0	Cooper	1927
223	Acinonyx	venator	0	Burnett	1830
224	Acionyx	jubata	NA	NA	NA
225	Acionyx	jubatus	NA	NA	NA
226	Aclistomycter	middletoni	0	Wilson	1971
227	Acmeodon	hyoni	0	Rigby	1980
228	Acmeodon	secans	NA	NA	NA
229	Acodon	arenicola	NA	NA	NA
230	Acodon	berlepschii	NA	NA	NA
231	Acodon	fuscinus	NA	NA	NA
232	Acodon	jelskii	NA	NA	NA
233	Acodon	lutescens	NA	NA	NA
234	Acodon	serrensis	NA	NA	NA
235	Acodon	urichi	NA	NA	NA
236	Acodon	venezuelensis	NA	NA	NA
237	Acoelodus	connectus	0	Ameghino	1901
238	Acoelodus	debilitatus	0	Ameghino	1901
239	Acoelodus	microdon	0	Ameghino	1901
240	Acoelodus	oppositus	0	Ameghino	1897
241	Acoelodus	proclivus	0	Ameghino	1902
242	Acoelodus	terminalis	0	Ameghino	1902
243	Acoelohyrax	coronatus	0	Ameghino	1902
244	Acomys	ablutus	NA	NA	NA
245	Acomys	airensis	0	Thomas	1921
246	Acomys	albigena	0	Heuglin	1878
247	Acomys	c.	NA	NA	NA
248	Acomys	caharinus	NA	NA	NA
249	Acomys	cahihnus	NA	NA	NA
